"","Miasto","Srednia cena dla miasta [w  zl/m-c]","Zmiana sredniej stawki dla  miasta m/m [w proc.]*","Zmiana sredniej stawki dla  miasta r/r [w proc.]*","Metraz","Srednia cena [w zl/m-c]","Zmiana m/m [w proc.]","Zmiana r/r [w proc.]"
"1","Bydgoszcz","1 876","+7,0","+20,9","0-38","1 524","+12,9","+31,7"
"3","Gdansk","2 673","+1,1","+19,4","0-38","2 099","+6,2","+25,2"
"4","Katowice","2 015","+4,3","+18,3","0-38","1 461","+1,3","+19,4"
"5","Kraków","2 651","+9,1","+33,4","0-38","1 968","+9,7","+35,3"
"7","Lódz","1 944","-0,8","+15,8","0-38","1 574","+2,6","+26,8"
"6","Lublin","2 031","+0,7","+7,9","0-38","1 791","+7,4","+23,2"
"8","Poznan","2 136","+7,5","+27,5","0-38","1 722","+8,5","+31,3"
"9","Szczecin","2 292","+2,5","+15,1","0-38","1 910","+5,5","+25,9"
"10","Warszawa","4 648","+8,4","+42,4","0-38","2 422","+7,5","+28,7"
"11","Wroclaw","2 896","+9,7","+39,9","0-38","2 293","+15,5","+44,2"
