"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:1","34,39 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","balkon","233,97 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","prywatny","2007","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe","meble, piekarnik","piwnica","pustak","339 000 zl","https://www.otodom.pl/pl/oferta/czyzkowko-dwupokojowe-parter-bez-posrednikow-ID4hbq6","bydgoszcz",NA
"1:2","34,39 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","balkon","233,97 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","prywatny","2007","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe","meble, piekarnik","piwnica","pustak","339 000 zl","https://www.otodom.pl/pl/oferta/czyzkowko-dwupokojowe-parter-bez-posrednikow-ID4hbq6","bydgoszcz",NA
"1:3","25 m²","udzial","3 ","do remontu","3/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","75 000 zl","https://www.otodom.pl/pl/oferta/tanie-mieszkanie-do-wlasnej-aranzacji-udzial-ID4fLL8","bydgoszcz",NA
"1:4","27,34 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","balkon","250 zl","zapytaj","zapytaj","kotlownia","wtórny","prywatny","2000","blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","meble, kuchenka","piwnica","cegla","225 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-osowa-gora-ID4gL84","bydgoszcz",NA
"1:5","36,9 m²","zapytaj","1 ","zapytaj","3/3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1964","blok","plastikowe","nie",NA,NA,NA,"piwnica","cegla","239 000 zl","https://www.otodom.pl/pl/oferta/badz-pierwszy-duza-kawalerka-na-lesnym-cegla-blok-ID4hcJ6","bydgoszcz",NA
"1:6","17,1 m²","spóldzielcze wlasnosciowe","1 ","do remontu","6/10","zapytaj","230 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,NA,NA,NA,NA,"165 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-solskiego-17m-do-remontu-swietna-lokaliz-ID4hk8C","bydgoszcz",NA
"1:7","22 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","170 zl","zapytaj","tak","kotlownia","wtórny","prywatny","1897","kamienica","drewniane","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,NA,"cegla","183 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-rewitalizowanej-kamienicy-bezposrednio-ID4he9U","bydgoszcz",NA
"1:8","26,55 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4gSqi","bydgoszcz",NA
"1:9","26,68 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4gSre","bydgoszcz",NA
"1:10","36 m²","pelna wlasnosc","2 ","do remontu","2/11","balkon","370 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","tak","telewizja kablowa, internet",NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","225 000 zl","https://www.otodom.pl/pl/oferta/bartodzieje-2-pokoje-z-balkonem-ID4hk4f","bydgoszcz",NA
