"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:1","33,1 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","3/10","balkon","500 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","1976","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka plyta","380 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-33-1-m2-2-pokoje-gdansk-ID4h2ZR","gdansk",NA
"1:2","33,1 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","3/10","balkon","500 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","1976","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka plyta","380 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-33-1-m2-2-pokoje-gdansk-ID4h2ZR","gdansk",NA
"1:3","26 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","4/4","zapytaj","290 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1965","blok","plastikowe","nie",NA,NA,"zmywarka, lodówka, piekarnik, kuchenka","piwnica","wielka plyta","359 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-8-min-od-centrum-ID4hers","gdansk",NA
"1:4","35,76 m²","zapytaj","2 ","do wykonczenia","1/5","balkon","zapytaj","zapytaj","Film","miejskie","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-osiedle-biotura-ID4fS83","gdansk",NA
"1:5","36,66 m²","zapytaj","2 ","zapytaj","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,NA,NA,"tak","internet","domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","inne","344 500 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-o-fajnym-ukladzie-ID4hhnW","gdansk",NA
"1:6","33,16 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4gtLu","gdansk",NA
"1:7","33,16 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-ID4gtOx","gdansk",NA
"1:8","33,06 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4gtEE","gdansk",NA
"1:9","31,2 m²","pelna wlasnosc","2 ","do zamieszkania","2","balkon, taras","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2016","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica",NA,"540 000 zl","https://www.otodom.pl/pl/oferta/przymorze-2-pok-piekne-i-funkcjonalne-okazja-ID4gVQC","gdansk",NA
"1:10","32,99 m²","pelna wlasnosc","1 ","do wykonczenia","> 10/17","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-loggia-bezposrednio-ID4gtGA","gdansk",NA
