"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Wyposazenie","Material budynku","cena","urlo","miasto","Media","Zabezpieczenia","Informacje dodatkowe","Dostepne od"
"1:1","26,5 m²","pelna wlasnosc","1 ","do zamieszkania","3/8","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1985","blok","plastikowe","tak","piekarnik, kuchenka","beton","240 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-wlasnosciowe-kawalerka-po-remoncie-ID4eKxH","katowice",NA,NA,NA,NA
"1:2","26,5 m²","pelna wlasnosc","1 ","do zamieszkania","3/8","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1985","blok","plastikowe","tak","piekarnik, kuchenka","beton","240 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-wlasnosciowe-kawalerka-po-remoncie-ID4eKxH","katowice",NA,NA,NA,NA
"1:3","38 m²","zapytaj","2 ","do remontu","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"wielka plyta","184 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-do-remontu-z-centralnym-dostepne-wkrotce-ID4h9Jb","katowice",NA,NA,NA,NA
"1:4","33 m²","pelna wlasnosc","2 ","zapytaj","4/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","meble, kuchenka",NA,"220 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-swietnej-lokalizacji-w-centrum-ID4gyPg","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:5","28 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","188 zl","zapytaj","zapytaj","elektryczne","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,"cegla","239 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-bogucice-ID4gOlu","katowice",NA,NA,NA,NA
"1:6","25,71 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"267 384 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-ID4c5I7","katowice",NA,NA,NA,NA
"1:7","30,84 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-30m2-2-ogrodki-ID4gfsU","katowice",NA,NA,NA,NA
"1:8","31,87 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4gft3","katowice",NA,NA,NA,NA
"1:9","25,71 m²","pelna wlasnosc","1 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"269 955 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bezposrednio-ID4c5HO","katowice",NA,NA,NA,NA
"1:10","30,43 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"292 400 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4fuGt","katowice",NA,NA,NA,NA
"1:11","29,47 m²","pelna wlasnosc","1 ","do wykonczenia","1/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bezposrednio-ID4ecLx","katowice",NA,NA,NA,NA
"1:12","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","zmywarka, piekarnik, kuchenka",NA,"219 500 zl","https://www.otodom.pl/pl/oferta/katowice-mieszkanie-dwupokojowe-bez-posrednikow-ID4gVLW","katowice",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:13","31,15 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"302 155 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4c5IF","katowice",NA,NA,NA,NA
"1:14","26,03 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4fCdx","katowice",NA,NA,NA,NA
"1:15","29,05 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"246 925 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-29m2-bezposrednio-ID4gRCT","katowice",NA,NA,NA,NA
"1:16","33,27 m²","pelna wlasnosc","1 ","do wykonczenia","8/11","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bez-prowizji-ID4gSDf","katowice",NA,NA,NA,NA
"1:17","35,7 m²","pelna wlasnosc","1 ","do wykonczenia","7/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-loggia-bezposrednio-ID4ecMj","katowice",NA,NA,NA,NA
"1:18","38 m²","pelna wlasnosc","2 ","do zamieszkania","1/11","balkon","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-z-balkonem-ID4h70e","katowice","internet","domofon / wideofon","piwnica",NA
"1:19","37 m²","pelna wlasnosc","1 ","do zamieszkania","2/18","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"wielka plyta","295 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-gotowa-do-zamieszkania-z-widokiem-ID4fZmv","katowice",NA,"system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA
"1:20","31,8 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4eGmn","katowice",NA,NA,NA,NA
"1:21","32,89 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-ogrodek-bezposrednio-ID4cXs2","katowice",NA,NA,NA,NA
"1:22","31,13 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bez-prowizji-ID4cXrb","katowice",NA,NA,NA,NA
"1:23","26,03 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4fCde","katowice",NA,NA,NA,NA
"1:24","31,67 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4eGmu","katowice",NA,NA,NA,NA
"1:25","31,79 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bezposrednio-ID4d9zi","katowice",NA,NA,NA,NA
"1:26","37,19 m²","pelna wlasnosc","2 ","do wykonczenia","7/13","balkon","300 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,NA,"412 000 zl","https://www.otodom.pl/pl/oferta/na-sprzedaz-apartament-z-panorama-ID4gVxT","katowice",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","oddzielna kuchnia, pom. uzytkowe","2022-05-31"
"1:27","33,99 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"331 740 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bez-prowizji-ID4fuFK","katowice",NA,NA,NA,NA
"1:28","34,02 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-bez-posrednikow-ID4gfti","katowice",NA,NA,NA,NA
"1:29","36,2 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-2-ogrodki-ID4eJ5m","katowice",NA,NA,NA,NA
"1:30","36,36 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","3/4","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","prywatny","1980","blok","plastikowe","nie","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","280 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-inwestycyjne-ID4hjXL","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:31","37 m²","pelna wlasnosc","2 ","do remontu","7/7","balkon","450 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1974","blok","plastikowe","nie",NA,"wielka plyta","249 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-lub-2-pokoje-piotrowice-katowice-balkon-ID4gQIn","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica",NA
"1:32","29,71 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","120 zl","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2024","blok","plastikowe","tak",NA,"pustak","317 876,80 zl","https://www.otodom.pl/pl/oferta/ceglana-park-1-pokojowe-mieszkanie-balkon-ID4gs4U","katowice","telewizja kablowa, internet, telefon","domofon / wideofon, rolety antywlamaniowe","piwnica",NA
"1:33","26,97 m²","zapytaj","1 ","do wykonczenia","3/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/inspire-mieszkanie-w-zielonym-sercu-katowic-d-3-1-ID4dXt7","katowice","telewizja kablowa, internet","domofon / wideofon",NA,NA
"1:34","37,41 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","2022","apartamentowiec","plastikowe","tak",NA,"beton","359 136 zl","https://www.otodom.pl/pl/oferta/ostrawska-1-kawalerka-z-balkonem-ID4fGLX","katowice","telewizja kablowa, internet","domofon / wideofon",NA,"2023-05-01"
"1:35","32,71 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","2022","apartamentowiec","plastikowe","tak",NA,"beton","310 745 zl","https://www.otodom.pl/pl/oferta/ostrawska-1-dwupokojowe-mieszkanie-z-balkonem-ID4fGMH","katowice","telewizja kablowa, internet","domofon / wideofon",NA,"2023-05-01"
"1:36","33,83 m²","pelna wlasnosc","2 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4eJ6i","katowice",NA,NA,NA,NA
"1:37","30,4 m²","spóldzielcze wl. z KW","1 ","do wykonczenia","8/11","balkon","310 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","meble","wielka plyta","270 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-os-paderewskiego-katowice-ID4fA4z","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","piwnica",NA
"1:38","30,8 m²","zapytaj","2 ","do zamieszkania","zapytaj","balkon, taras","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"inne","349 000 zl","https://www.otodom.pl/pl/oferta/nowe-wykonczone-pod-klucz-blisko-sum-ID4h41S","katowice",NA,NA,NA,NA
"1:39","36 m²","spóldzielcze wlasnosciowe","2 ","do remontu","parter/4","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","drewniane","nie",NA,"cegla","195 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-murcki-ID4geBH","katowice",NA,"domofon / wideofon, rolety antywlamaniowe","piwnica",NA
"1:40","35,85 m²","pelna wlasnosc","2 ","do remontu","parter/4","zapytaj","420 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","drewniane","nie",NA,NA,"225 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-dla-inwestora-ID4h5v0","katowice",NA,"domofon / wideofon","piwnica",NA
