"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","cena","urlo","miasto","Material budynku","Rok budowy","Dostepne od"
"1:1","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","530 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-sercu-nowej-huty-ID4hb0s","krakow",NA,NA,NA
"1:2","37 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","530 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-sercu-nowej-huty-ID4hb0s","krakow",NA,NA,NA
"1:3","24 m²","pelna wlasnosc","1 ","do zamieszkania","2/10","zapytaj","200 zl","zapytaj","tak","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","meble, piekarnik, kuchenka",NA,"339 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-bezposrednio-bronowice-ID4hcnt","krakow","cegla",NA,NA
"1:4","23,3 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","ogródek, taras","zapytaj","garaz/miejsce parkingowe","tak","elektryczne","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie",NA,NA,"meble",NA,"378 000 zl","https://www.otodom.pl/pl/oferta/przestronne-studio-z-duzym-ogrodem-ID4gLdZ","krakow",NA,NA,NA
"1:5","33,49 m²","pelna wlasnosc","1 ","do wykonczenia","2/9","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"361 692 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-loggia-bezposrednio-ID4fMcf","krakow",NA,NA,NA
"1:6","33,48 m²","pelna wlasnosc","2 ","do wykonczenia","3/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"364 932 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-balkon-bez-prowizji-ID4fMd3","krakow",NA,NA,NA
"1:7","31,41 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"452 304 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-taras-bez-posrednikow-ID4bZm9","krakow",NA,NA,NA
"1:8","37,97 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"328 504 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-ID4fPyZ","krakow",NA,NA,NA
"1:9","37,93 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"417 230 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-ogrodek-bezposrednio-ID4h2Ga","krakow",NA,NA,NA
"1:10","38 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","ogródek, taras","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"475 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-tarasem-sloneczne-ID4h53b","krakow","pustak","2015",NA
