"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od","Rok budowy"
"1:1","29 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","balkon","218 zl","zapytaj","tak","elektryczne","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, pralka","oddzielna kuchnia","cegla","288 700 zl","https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-2-pokoje-balkon-umed-ID4gzHL","lodz",NA,NA
"1:2","29 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","balkon","218 zl","zapytaj","tak","elektryczne","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, pralka","oddzielna kuchnia","cegla","288 700 zl","https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-2-pokoje-balkon-umed-ID4gzHL","lodz",NA,NA
"1:3","31 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","ogródek","220 zl","zapytaj","tak","zapytaj","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon","lodówka, meble, kuchenka",NA,NA,"215 000 zl","https://www.otodom.pl/pl/oferta/centrum-okazja-ogrodek-idealne-pod-wynajem-ID4gXSD","lodz",NA,NA
"1:4","37 m²","spóldzielcze wlasnosciowe","2 ","do remontu","1/4","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"domofon / wideofon",NA,"piwnica","wielka plyta","254 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-stary-widzew-2pok-balkon-ID4hfum","lodz",NA,NA
"1:5","33,68 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"259 336 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-ogrodek-bez-prowizji-ID4f31I","lodz",NA,NA
"1:6","26,55 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4eiGF","lodz",NA,NA
"1:7","30,71 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bez-prowizji-ID4gP8e","lodz",NA,NA
"1:8","20,86 m²","pelna wlasnosc","1 ","do zamieszkania","1/2","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,"domofon / wideofon",NA,NA,"cegla","179 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizji-po-remoncie-cegla-1-pietro-ID4fDVL","lodz",NA,NA
"1:9","31,69 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-bezposrednio-ID4eF8y","lodz",NA,NA
"1:10","26,46 m²","pelna wlasnosc","1 ","do wykonczenia","10/13","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-bez-prowizji-ID4eiH4","lodz",NA,NA
"1:11","34,74 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"267 498 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-loggia-bezposrednio-ID4eRjR","lodz",NA,NA
"1:12","37,71 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4ceG4","lodz",NA,NA
"1:13","35,81 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"272 156 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-loggia-bezposrednio-ID4eRkr","lodz",NA,NA
"1:14","29 m²","pelna wlasnosc","1 ","do remontu","3/3","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","kamienica",NA,"nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon","meble",NA,"cegla","170 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-ksiezym-mlynie-przy-samym-parku-ID4hhsP","lodz","2022-06-22","1900"
"1:15","34,99 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-ogrodek-ID4eLpj","lodz",NA,NA
"1:16","32,76 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-bez-posrednikow-ID4gsRc","lodz",NA,NA
"1:17","25,56 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-loggia-bez-prowizji-ID4fv2j","lodz",NA,NA
"1:18","25,56 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-loggia-ID4fv1N","lodz",NA,NA
"1:19","19 m²","zapytaj","1 ","zapytaj","zapytaj","ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","prywatny",NA,NA,"nie","internet","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,NA,"170 000 zl","https://www.otodom.pl/pl/oferta/pakiet-5-kawalerek-ze-stopa-zwrotu-18-ID4hiUv","lodz",NA,NA
"1:20","28,3 m²","pelna wlasnosc","1 ","zapytaj","7/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"piwnica","wielka plyta","235 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-na-sprzedaz-ID4hiTN","lodz",NA,NA
"1:21","25,56 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-loggia-bezposrednio-ID4fv2B","lodz",NA,NA
"1:22","19 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","170 zl","garaz/miejsce parkingowe","tak","zapytaj","wtórny","prywatny","kamienica","plastikowe","nie","internet","teren zamkniety, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",NA,"cegla","175 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-19-m-lodz-ID4gVJu","lodz",NA,"1935"
"1:23","36 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","zapytaj","600 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie",NA,NA,NA,NA,"cegla","210 000 zl","https://www.otodom.pl/pl/oferta/36m2-do-remontu-ul-drewnowska-ID4hdGi","lodz",NA,"1970"
"1:24","26,56 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4gP8g","lodz",NA,NA
"1:25","28,69 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4frV7","lodz",NA,NA
"1:26","28,69 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-bezposrednio-ID4frWR","lodz",NA,NA
"1:27","38 m²","spóldzielcze wlasnosciowe","2 ","do remontu","3/4","balkon","330 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka","piwnica","cegla","360 000 zl","https://www.otodom.pl/pl/oferta/piekne-po-remoncie-ul-lorentza-8-cegla-balkon-ID4fCth","lodz",NA,NA
"1:28","34,37 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"348 854 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-taras-bez-posrednikow-ID4deHK","lodz",NA,NA
"1:29","34,48 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-ID4cmsR","lodz",NA,NA
"1:30","25,91 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264 282 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-taras-bezposrednio-ID4deHI","lodz",NA,NA
"1:31","35,53 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4emV3","lodz",NA,NA
"1:32","34,35 m²","pelna wlasnosc","2 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4gP8d","lodz",NA,NA
"1:33","29,31 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4eBvA","lodz",NA,NA
"1:34","35,55 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4emW4","lodz",NA,NA
"1:35","35,64 m²","pelna wlasnosc","2 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"370 656 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4deII","lodz",NA,NA
"1:36","36,56 m²","pelna wlasnosc","1 ","do wykonczenia","7/11","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-bez-prowizji-ID4eUCP","lodz",NA,NA
"1:37","28,04 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4gMRR","lodz",NA,NA
"1:38","28,04 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4gMR2","lodz",NA,NA
"1:39","35,82 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gMRb","lodz",NA,NA
"1:40","28,04 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4gMRj","lodz",NA,NA
"1:41","25 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","prywatny","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","250 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-25-m-kw-1p-c-o-miejskie-po-remoncie-ID4haxw","lodz",NA,NA
"1:42","19,32 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","ogródek","140 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe","meble","piwnica, oddzielna kuchnia, pom. uzytkowe","cegla","149 700 zl","https://www.otodom.pl/pl/oferta/kawalerka-100m-od-piotrkowskiej-ID4gAZt","lodz",NA,"1940"
"1:43","29 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"piwnica","beton komórkowy","260 450 zl","https://www.otodom.pl/pl/oferta/sprzedam-mikeszkanie-kawalerke-ID4gEqt","lodz",NA,"2022"
"1:44","34,48 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-ogrodek-ID4cmrX","lodz",NA,NA
"1:45","34,57 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"266 189 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-loggia-bez-prowizji-ID4eRkk","lodz",NA,NA
"1:46","29,33 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-ID4eBxh","lodz",NA,NA
"1:47","31,94 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-bezposrednio-ID4eF93","lodz",NA,NA
"1:48","25,8 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"263 160 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-ID4deHJ","lodz",NA,NA
"1:49","36,09 m²","pelna wlasnosc","1 ","do wykonczenia","parter/11","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-ogrodek-bez-prowizji-ID4eUBZ","lodz",NA,NA
"1:50","16,24 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","zapytaj","135 zl","zapytaj","zapytaj","inne","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, pralka",NA,"cegla","155 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-przy-parku-reymonta-ID4gp4N","lodz",NA,"1910"
"1:51","32,2 m²","pelna wlasnosc","1 ","zapytaj","3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"230 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-swietnej-lokalizacji-ID4hk1J","lodz",NA,NA
"1:52","32,34 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-bez-prowizji-ID4gsRh","lodz",NA,NA
"1:53","32,5 m²","pelna wlasnosc","1 ","zapytaj","5/10","balkon","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,"teren zamkniety, domofon / wideofon",NA,"piwnica, oddzielna kuchnia",NA,"250 000 zl","https://www.otodom.pl/pl/oferta/m-2-gorna-rozkladowe-ID4hk0i","lodz",NA,"1975"
"1:54","35,27 m²","pelna wlasnosc","2 ","do zamieszkania","1/4","balkon","290 zl","zapytaj","tak","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,NA,"310 000 zl","https://www.otodom.pl/pl/oferta/35-5-m2-konspiracyjnego-wojska-polskiego-ID4gVnt","lodz",NA,NA
"1:55","36,27 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","inne","301 041 zl","https://www.otodom.pl/pl/oferta/nowe-rozkladowe-2pok-bardzo-dobra-lokalizacja-ID4hjYB","lodz",NA,"2022"
