"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:1","33 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","4/10","balkon","330 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","1970","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","meble","piwnica, pom. uzytkowe","wielka plyta","364 700 zl","https://www.otodom.pl/pl/oferta/2-pok-lsm-po-remoncie-blisko-uczelni-bezposr-ID4gPGR","lublin",NA
"1:2","33 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","4/10","balkon","330 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","1970","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","meble","piwnica, pom. uzytkowe","wielka plyta","364 700 zl","https://www.otodom.pl/pl/oferta/2-pok-lsm-po-remoncie-blisko-uczelni-bezposr-ID4gPGR","lublin",NA
"1:3","36 m²","pelna wlasnosc","1 ","do zamieszkania","3/7","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"338 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-czuby-1-2-pokoje-duzy-balkon-ID4h4iZ","lublin",NA
"1:4","31,8 m²","zapytaj","2 ","zapytaj","parter/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2023",NA,"plastikowe","nie",NA,"drzwi / okna antywlamaniowe",NA,NA,"beton","258 000 zl","https://www.otodom.pl/pl/oferta/32m2-2-pokoje-duzy-balkon-ul-jemioluszki-ID4dXJg","lublin",NA
"1:5","30,7 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","balkon","280 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2016","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","silikat","319 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-felin-zygmunta-augusta-27-54-ID4eOJI","lublin",NA
"1:6","30,89 m²","pelna wlasnosc","1 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,"262 565 zl","https://www.otodom.pl/pl/oferta/kawalerka-bezposrednio-od-dewelopera-ID4e2BJ","lublin",NA
"1:7","34,77 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2024","blok","plastikowe","tak","internet, telefon","domofon / wideofon, monitoring / ochrona",NA,"piwnica, pom. uzytkowe","cegla","274 683 zl","https://www.otodom.pl/pl/oferta/diamentowe-tarasy-urocze-mieszkanie-c-m67-ID4fkBp","lublin",NA
"1:8","33,8 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","1/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny","1967","blok","plastikowe","nie",NA,NA,NA,"piwnica","wielka plyta","290 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-lublin-do-zamieszkania-od-zaraz-ID4hjPw","lublin",NA
"1:9","36,62 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"281 974 zl","https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-43-ID4f6pm","lublin",NA
"1:10","36,65 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","deweloper","2022","blok","aluminiowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","348 175 zl","https://www.otodom.pl/pl/oferta/chodzki-residence-lublin-ul-chodzki-u14-ID48qQq","lublin",NA
"1:11","30,79 m²","zapytaj","2 ","do wykonczenia","4/8","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/osiedle-europejskie-etap-oslo-a13-lm-243-ID4gHuc","lublin",NA
"1:12","36,22 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","balkon","zapytaj","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","1910","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","298 000 zl","https://www.otodom.pl/pl/oferta/jasne-mieszkanie-36m2-2-pokoje-z-aneksem-iip-ID4edtO","lublin",NA
"1:13","28,24 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","nie",NA,"domofon / wideofon",NA,NA,"beton komórkowy","338 000 zl","https://www.otodom.pl/pl/oferta/nowa-naleczowska-28-24-m2-ID4gRWq","lublin",NA
