"","X","Powierzchnia","Forma.wlasnosci","Liczba.pokoi","Stan.wykonczenia","Pietro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsluga.zdalna","Ogrzewanie","Rynek","Typ.ogloszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje.dodatkowe","Material.budynku","cena","urlo","miasto","Dostepne.od","SQRM"
"1:1","1:1",33,"spóldzielcze wl. z KW","2","do zamieszkania","4/10","balkon","330 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny",1970,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","meble","piwnica, pom. uzytkowe","wielka plyta",364700,"https://www.otodom.pl/pl/oferta/2-pok-lsm-po-remoncie-blisko-uczelni-bezposr-ID4gPGR","lublin",NA,11052
"1:2","1:2",33,"spóldzielcze wl. z KW","2","do zamieszkania","4/10","balkon","330 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny",1970,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","meble","piwnica, pom. uzytkowe","wielka plyta",364700,"https://www.otodom.pl/pl/oferta/2-pok-lsm-po-remoncie-blisko-uczelni-bezposr-ID4gPGR","lublin",NA,11052
"1:3","1:3",36,"pelna wlasnosc","1","do zamieszkania","3/7","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,338000,"https://www.otodom.pl/pl/oferta/mieszkanie-czuby-1-2-pokoje-duzy-balkon-ID4h4iZ","lublin",NA,9389
"1:4","1:4",32,"zapytaj","2","zapytaj","parter/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny",2023,NA,"plastikowe","nie",NA,"drzwi / okna antywlamaniowe",NA,NA,"beton",258000,"https://www.otodom.pl/pl/oferta/32m2-2-pokoje-duzy-balkon-ul-jemioluszki-ID4dXJg","lublin",NA,8062
"1:5","1:5",31,"pelna wlasnosc","1","do zamieszkania","3/3","balkon","280 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",2016,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","silikat",319000,"https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-felin-zygmunta-augusta-27-54-ID4eOJI","lublin",NA,10290
"1:6","1:6",31,"pelna wlasnosc","1","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper",2023,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,262565,"https://www.otodom.pl/pl/oferta/kawalerka-bezposrednio-od-dewelopera-ID4e2BJ","lublin",NA,8470
"1:7","1:7",35,"pelna wlasnosc","1","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper",2024,"blok","plastikowe","tak","internet, telefon","domofon / wideofon, monitoring / ochrona",NA,"piwnica, pom. uzytkowe","cegla",274683,"https://www.otodom.pl/pl/oferta/diamentowe-tarasy-urocze-mieszkanie-c-m67-ID4fkBp","lublin",NA,7848
"1:8","1:8",34,"spóldzielcze wl. z KW","2","do zamieszkania","1/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",1967,"blok","plastikowe","nie",NA,NA,NA,"piwnica","wielka plyta",290000,"https://www.otodom.pl/pl/oferta/mieszkanie-lublin-do-zamieszkania-od-zaraz-ID4hjPw","lublin",NA,8529
"1:9","1:9",37,"pelna wlasnosc","1","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper",2023,"blok","plastikowe","tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,281974,"https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-43-ID4f6pm","lublin",NA,7621
"1:10","1:10",37,"pelna wlasnosc","2","do wykonczenia","1/5","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","deweloper",2022,"blok","aluminiowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla",348175,"https://www.otodom.pl/pl/oferta/chodzki-residence-lublin-ul-chodzki-u14-ID48qQq","lublin",NA,9410
"1:11","1:12",36,"pelna wlasnosc","2","do zamieszkania","2/3","balkon","zapytaj","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ",1910,"kamienica",NA,"nie",NA,NA,NA,NA,"cegla",298000,"https://www.otodom.pl/pl/oferta/jasne-mieszkanie-36m2-2-pokoje-z-aneksem-iip-ID4edtO","lublin",NA,8278
"1:12","1:13",28,"pelna wlasnosc","1","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny",2022,"blok","plastikowe","nie",NA,"domofon / wideofon",NA,NA,"beton komórkowy",338000,"https://www.otodom.pl/pl/oferta/nowa-naleczowska-28-24-m2-ID4gRWq","lublin",NA,12071
"1:13","1:14",35,"pelna wlasnosc","1","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper",2024,"blok","plastikowe","tak","internet, telefon","domofon / wideofon, monitoring / ochrona",NA,"piwnica, pom. uzytkowe","cegla",274683,"https://www.otodom.pl/pl/oferta/diamentowe-tarasy-przytulne-mieszkanie-c-m59-ID4fkB6","lublin",NA,7848
"1:14","1:15",35,"spóldzielcze wl. z KW","2","do zamieszkania","4/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1968,"blok","plastikowe","nie","telewizja kablowa",NA,NA,"piwnica",NA,339000,"https://www.otodom.pl/pl/oferta/2-pokoje-blisko-srodmiescia-po-remoncie-ID4h0WS","lublin",NA,9686
"1:15","1:16",38,"spóldzielcze wl. z KW","2","do zamieszkania","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",1978,"blok",NA,"nie",NA,NA,NA,"piwnica","wielka plyta",319000,"https://www.otodom.pl/pl/oferta/mieszkanie-38-m-lublin-ID4gPE6","lublin",NA,8395
"1:16","1:17",37,"pelna wlasnosc","2","do wykonczenia","5/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper",2021,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet",355015,"https://www.otodom.pl/pl/oferta/lokal-noclegowy-5-03-ID4hjgZ","lublin",NA,9595
"1:17","1:18",16,"pelna wlasnosc","1","do zamieszkania","3/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, piekarnik, kuchenka",NA,NA,219000,"https://www.otodom.pl/pl/oferta/kawalerka-na-start-pod-klucz-bez-posrednikow-ID4h6qT","lublin",NA,13688
"1:18","1:19",38,"pelna wlasnosc","2","do wykonczenia","parter/4","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny",2021,"blok",NA,"tak",NA,NA,NA,"piwnica",NA,320000,"https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-2-pokojowe-wrotkow-ID4h7zo","lublin",NA,8421
"1:19","1:20",37,"pelna wlasnosc","2","do wykonczenia","4/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper",2021,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet",355015,"https://www.otodom.pl/pl/oferta/lokal-noclegowy-4-10-ID4hjgo","lublin",NA,9595
"1:20","1:21",37,"pelna wlasnosc","2","do wykonczenia","4/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper",2021,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet",355015,"https://www.otodom.pl/pl/oferta/lokal-noclegowy-4-03-ID4hjfu","lublin",NA,9595
"1:21","1:22",34,"pelna wlasnosc","2","do zamieszkania","8/10","balkon","285 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia","wielka plyta",260000,"https://www.otodom.pl/pl/oferta/dobra-inwestycja-na-sprzedaz-ul-odlewnicza-ID4hjeV","lublin",NA,7647
"1:22","1:23",37,"pelna wlasnosc","2","do wykonczenia","3/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper",2021,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet",355015,"https://www.otodom.pl/pl/oferta/lokal-noclegowy-3-10-ID4hjes","lublin",NA,9595
"1:23","1:24",37,"pelna wlasnosc","2","do wykonczenia","3/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper",2021,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet",355015,"https://www.otodom.pl/pl/oferta/lokal-noclegowy-3-03-ID4hjdR","lublin",NA,9595
"1:24","1:25",38,"pelna wlasnosc","2","do remontu","parter/4","zapytaj","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1978,"blok","plastikowe","nie","internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka","piwnica","wielka plyta",319000,"https://www.otodom.pl/pl/oferta/2-pokoje-parter-rozklad-inwestycja-ID4gNAt","lublin","2022-05-20",8395
"1:25","1:26",37,"pelna wlasnosc","2","do zamieszkania","parter/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1975,"blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta",359000,"https://www.otodom.pl/pl/oferta/2-pokoje-przy-politechnice-lubelskiej-ID4hiXn","lublin",NA,9703
"1:26","1:27",34,"pelna wlasnosc","2","do zamieszkania","6/6","balkon","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1988,"blok","drewniane","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","wielka plyta",364000,"https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-czechowie-blisko-um-ID4hitY","lublin",NA,10706
"1:27","1:28",37,"pelna wlasnosc","2","do remontu","parter/10","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1976,"blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka","piwnica","wielka plyta",359000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-blisko-uczelni-ID4hitU","lublin",NA,9703
