"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Dostepne od"
"1:1","30 m²","pelna wlasnosc","1 ","do zamieszkania","1/5","balkon","450 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, telewizor, pralka","cegla","450 000 zl","https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-przy-starym-rynku-z-balkonem-ID4hdWk","poznan",NA,NA
"1:2","30 m²","pelna wlasnosc","1 ","do zamieszkania","1/5","balkon","450 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, telewizor, pralka","cegla","450 000 zl","https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-przy-starym-rynku-z-balkonem-ID4hdWk","poznan",NA,NA
"1:3","28,93 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","prywatny","1906","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, telewizor, pralka","cegla","432 504 zl","https://www.otodom.pl/pl/oferta/wyjatkowa-kawalerka-pod-klucz-z-balkonem-ID4hgrz","poznan",NA,NA
"1:4","30 m²","pelna wlasnosc","2 ","zapytaj","3/4","zapytaj","200 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","meble, piekarnik, kuchenka",NA,"349 000 zl","https://www.otodom.pl/pl/oferta/2-pok-nowe-urzadzone-m-postoj-ID4hdnK","poznan",NA,NA
"1:5","33 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","280 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","315 000 zl","https://www.otodom.pl/pl/oferta/godne-polecenia-sloneczne-33-m2-2-pietro-ID4gV97","poznan","piwnica",NA
"1:6","29,5 m²","pelna wlasnosc","2 ","do zamieszkania","parter","zapytaj","387 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-na-parterze-debiec-ID4gJve","poznan","oddzielna kuchnia",NA
"1:7","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","8/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,"lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","419 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-z-widokiem-na-poznan-ID4hjoe","poznan","piwnica",NA
"1:8","37,2 m²","zapytaj","2 ","do wykonczenia","1","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"zelbet","345 123 zl","https://www.otodom.pl/pl/oferta/hit-2-pok-37m2wielka-loggiaszklane-balustrady-ID4h7We","poznan",NA,NA
"1:9","35,53 m²","pelna wlasnosc","2 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4c7cO","poznan",NA,NA
"1:10","21,37 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-21m2-balkon-ID4dZAv","poznan",NA,NA
"1:11","28,8 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/14","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1974","blok","plastikowe","tak","internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","wielka plyta","315 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-29m2-bezp-bonin-odnowiona-z-piwnica-ID4hker","poznan","piwnica, oddzielna kuchnia",NA
"1:12","30,34 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4e8B7","poznan",NA,NA
