"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Okna","Dostepne od"
"1:1","33,87 m²","pelna wlasnosc","1 ","do zamieszkania","3/7","balkon","150 zl","garaz/miejsce parkingowe","","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, piekarnik, kuchenka","silikat","399 000 zl","https://www.otodom.pl/pl/oferta/river-house-ul-swietego-ducha-kawalerka-ID4gVdt","szczecin",NA,NA,NA
"1:2","33,87 m²","pelna wlasnosc","1 ","do zamieszkania","3/7","balkon","150 zl","garaz/miejsce parkingowe","","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, piekarnik, kuchenka","silikat","399 000 zl","https://www.otodom.pl/pl/oferta/river-house-ul-swietego-ducha-kawalerka-ID4gVdt","szczecin",NA,NA,NA
"1:3","38 m²","pelna wlasnosc","1 ","do remontu","2/3","zapytaj","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1955","blok","nie","telewizja kablowa, internet",NA,NA,"cegla","249 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-na-pogodnie-38-m2-ID4hde9","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:4","27 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/4","zapytaj","250 zl","zapytaj","tak","miejskie","wtórny","prywatny",NA,"blok","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, piekarnik, kuchenka",NA,"299 000 zl","https://www.otodom.pl/pl/oferta/zamienie-na-2-lub-3-pokoje-lub-sprzedam-ID4h8IR","szczecin","piwnica","plastikowe",NA
"1:5","31 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","2","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","tak","telewizja kablowa, internet",NA,"piekarnik, kuchenka","wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-w-swietnej-lokalizacji-ID4hjop","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:6","29,76 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","zapytaj","zapytaj","Film","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"cegla","282 720 zl","https://www.otodom.pl/pl/oferta/nowe-i-wykonczone-2-pokoje-przy-parku-zobacz-film-ID4gNQd","szczecin",NA,"plastikowe",NA
"1:7","37,99 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","3/4","zapytaj","411 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2001","blok","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka","zelbet","379 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-idealne-do-wynajmu-staromlynska-9-ID4gUfj","szczecin","pom. uzytkowe","plastikowe",NA
"1:8","27 m²","spóldzielcze wlasnosciowe","1 ","do wykonczenia","1/4","zapytaj","180 zl","zapytaj","tak","miejskie","wtórny","prywatny","1980","blok","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-200-m-od-galaxy-20m-hanza-top-ID4h8d8","szczecin","piwnica","plastikowe",NA
"1:9","35,63 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/3","zapytaj","280 zl","zapytaj","zapytaj","elektryczne","wtórny","prywatny",NA,"kamienica","nie","telewizja kablowa, internet",NA,NA,"cegla","270 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-szczecina-bez-posrednikow-ID4gVUS","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:10","16,71 m²","zapytaj","1 ","do remontu","4/4","zapytaj","100 zl","zapytaj","zapytaj","zapytaj","wtórny","prywatny",NA,"kamienica","nie",NA,NA,NA,"cegla","149 000 zl","https://www.otodom.pl/pl/oferta/lokal-w-centrum-ID4hk8c","szczecin",NA,NA,NA
