"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Dostepne od"
"1:1","36,22 m²","pelna wlasnosc","2 ","do zamieszkania","4/5","balkon, taras","290 zl","garaz/miejsce parkingowe","Film","miejskie","wtórny","prywatny","2020","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","699 980 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-ochota-dla-inwestora-ID4eeN2","warszawa",NA,NA
"1:2","36,22 m²","pelna wlasnosc","2 ","do zamieszkania","4/5","balkon, taras","290 zl","garaz/miejsce parkingowe","Film","miejskie","wtórny","prywatny","2020","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","699 980 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-ochota-dla-inwestora-ID4eeN2","warszawa",NA,NA
"1:3","29 m²","spóldzielcze wl. z KW","1 ","zapytaj","2/4","zapytaj","420 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1962","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, kuchenka, pralka",NA,"415 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-ochocie-blisko-kampusu-wum-i-uw-ID4gYD1","warszawa","piwnica",NA
"1:4","32,14 m²","spóldzielcze wl. z KW","1 ","do wykonczenia","> 10/20","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1984","blok",NA,"tak",NA,NA,NA,NA,"415 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-marymont-balkon-panorama-ID4gJz6","warszawa",NA,NA
"1:5","32,26 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-ID4fjZp","warszawa",NA,NA
"1:6","32,8 m²","pelna wlasnosc","2 ","do zamieszkania","6/8","balkon","490 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"565 000 zl","https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-32-8m-2-balkony-garaz-ID4gkXr","warszawa",NA,NA
"1:7","36,5 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","balkon","500 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1939","kamienica","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","meble","cegla","608 000 zl","https://www.otodom.pl/pl/oferta/kamienica-2pokojowe-balkon-ochota-ID4h9hX","warszawa","piwnica",NA
"1:8","31,4 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","parter/10","balkon, ogródek","460 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","internet","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","399 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodkiem-bezposrednio-32m2-sadyba-ID4eebi","warszawa","oddzielna kuchnia, pom. uzytkowe",NA
"1:9","37,61 m²","pelna wlasnosc","1 ","do wykonczenia","6/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"440 037 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-loggia-bezposrednio-ID4crAZ","warszawa",NA,NA
"1:10","25,2 m²","pelna wlasnosc","1 ","do wykonczenia","9/10","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412 057 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-loggia-bezposrednio-ID4eB8f","warszawa",NA,NA
"1:11","29,98 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bezposrednio-ID4eaWA","warszawa",NA,NA
"1:12","30,99 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4dMYc","warszawa",NA,NA
"1:13","36,41 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4gauG","warszawa",NA,NA
"1:14","32,61 m²","pelna wlasnosc","2 ","do wykonczenia","1/6","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-loggia-bez-prowizji-ID4hiPz","warszawa",NA,NA
"1:15","28,87 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-ID4hiQi","warszawa",NA,NA
