"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:1","35,36 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","ogródek","266 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","2021","blok","plastikowe","nie","internet","teren zamkniety, domofon / wideofon, rolety antywlamaniowe","meble, piekarnik, kuchenka","434 000 zl","https://www.otodom.pl/pl/oferta/piekne-wykonczone-z-ogrodkiem-bez-prowizji-i-pcc-ID4gqsi","wroclaw",NA,NA,NA
"1:2","35,36 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","ogródek","266 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny","2021","blok","plastikowe","nie","internet","teren zamkniety, domofon / wideofon, rolety antywlamaniowe","meble, piekarnik, kuchenka","434 000 zl","https://www.otodom.pl/pl/oferta/piekne-wykonczone-z-ogrodkiem-bez-prowizji-i-pcc-ID4gqsi","wroclaw",NA,NA,NA
"1:3","36,69 m²","zapytaj","1 ","do wykonczenia","1/4","zapytaj","160 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny","2000","blok","drewniane","nie",NA,NA,NA,"319 000 zl","https://www.otodom.pl/pl/oferta/36-69mkw-1-pietro-winda-balkon-m-postojowe-ID4h8U5","wroclaw","inne",NA,NA
"1:4","37 m²","zapytaj","2 ","do zamieszkania","1/5","zapytaj","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2017","apartamentowiec",NA,"tak",NA,"system alarmowy, monitoring / ochrona","meble","689 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-premium-ksiecia-witolda-ID4egVw","wroclaw",NA,NA,NA
"1:5","32 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","320 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2000","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","349 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-muchobor-wielki-bezposrednio-ID4hkgm","wroclaw","cegla","pom. uzytkowe",NA
"1:6","32,2 m²","pelna wlasnosc","2 ","do zamieszkania","5/11","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","lodówka, meble, piekarnik","415 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-atrakcyjnej-lokalizacji-ID4gXvW","wroclaw",NA,"piwnica",NA
"1:7","25,95 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-bez-prowizji-ID4hgQW","wroclaw",NA,NA,NA
"1:8","38 m²","spóldzielcze wl. z KW","2 ","zapytaj","1/10","balkon","600 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,"monitoring / ochrona",NA,"415 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-swietnej-lokalizacji-park-krzyki-ID4hkfH","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:9","27,8 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4hiDV","wroclaw",NA,NA,NA
"1:10","35,5 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","balkon, ogródek, taras","280 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2021","apartamentowiec","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, rolety antywlamaniowe","meble, piekarnik, kuchenka","434 000 zl","https://www.otodom.pl/pl/oferta/nowe-luksusowo-wykonczone-ogrod-bez-pcc-kunickiego-ID4gAJX","wroclaw","silikat",NA,NA
